date,open,high,low,close,rate-day,rate-week,rate-month,rate-3month,rate-6month,rate-12month,rateYTD),5-high,5-low,5-average,20-high,20-low,20-average,60-high,60-low,60-average,120-high,120-low,120-average,52week-high,52week-low,52week-average ,ADX, RSI,MACD_12_ 26,9avg_MACD,oscillator,bollbandT,bollbandB,stochastic,이격도,역사적변동성,A ratio,B ratio,BWI,close
2000-03-07,117.8,119.95,117,119.95,-0.22,9.53,-6.76,-9.26,-3.88,68.59,68.59,909.33,828.38,886.91,976.05,819.01,893.25,1059.04,819.01,941.15,1059.04,791.55,922.93,1059.04,569.27,866.9,38.33495975,0.450379922,-5.030448718,-4.605448718,-0.425,905.1782681,881.3217319,-4.451477331,97.15105153,0.49414066,65.02835539,-3540,0.026707569,119.95
2000-03-08,116.7,121.1,116.3,120.7,0.95,10.57,-4.71,-7.32,-2.24,60.17,60.17,915.94,894.66,904.42,976.05,819.01,890.99,1059.04,819.01,939.75,1059.04,791.55,922.55,1059.04,569.27,868.27,38.273593,0.40975727,-4.354487179,-4.849323362,0.494836182,901.724764,880.255236,-4.446701477,97.18010916,0.490987064,70.33175355,991.1764706,0.024096261,120.7
2000-03-09,120.25,122.2,117.25,117.7,-3.42,-1.13,-9.37,-9.79,-6.94,54.42,54.42,915.94,884.59,902.41,966.18,819.01,886.42,1059.04,819.01,938.02,1059.04,791.55,921.74,1059.04,569.27,869.5,39.86792214,0.377797474,-3.73974359,-4.93974359,1.2,895.6622884,877.1777116,-4.765305429,96.98387395,0.49686371,63.0198915,2148.387097,0.020853068,117.7
2000-03-10,119.7,120.05,116.7,116.8,0.77,-0.39,-7.74,-12.45,-7.34,56.58,56.58,915.94,884.59,901.71,953.22,819.01,882.68,1059.04,819.01,936.54,1059.04,791.55,921.1,1059.04,578.98,870.78,40.3788775,0.444821289,-3.409615385,-4.867948718,1.458333333,890.5799067,874.7800933,-5.23217346,96.89797599,0.49535552,62.41979835,11250,0.01789982,116.8
2000-03-13,115.2,115.2,109,109,-4.12,-6.01,-10.34,-15.68,-12.87,44.66,44.66,915.94,854.66,890.78,915.94,819.01,877.75,1059.04,819.01,933.81,1059.04,791.55,920.28,1059.04,578.98,872.98,40.14339869,0.401297122,-3.287820513,-4.682478632,1.39465812,885.8175618,869.6824382,-7.324976787,96.69677643,0.533245361,59.3175853,-34000,0.018382368,109
2000-03-14,109,111.35,108.6,110.2,-0.93,-6.68,-7.04,-15.55,-12.58,43.32,43.32,915.94,846.74,878.66,915.94,819.01,874.54,1059.04,819.01,931.03,1059.04,791.55,919.7,1059.04,578.98,872.88,44.50727827,0.369073046,-2.997115385,-4.386182336,1.389066952,882.9549163,866.1250837,-7.312596719,96.67377823,0.517572854,69.64112512,10157.14286,0.019244211,110.2
2000-03-15,107.6,111.2,105.5,111.2,-1.09,-8.56,-4.79,-13.08,-12.09,41.47,41.47,891.36,837.53,862.98,915.94,819.01,872.43,1059.04,819.01,928.28,1059.04,791.55,918.97,1059.04,578.98,873.85,40.17601033,0.33161068,-2.153846154,-4.005876068,1.852029915,880.6720153,864.1879847,-7.302279996,96.7565919,0.505604428,79.40234792,796.3855422,0.018894388,111.2
2000-03-16,112.2,113.05,109.15,110.7,0.44,-4.9,-4.35,-11.32,-8.18,39.78,39.78,891.36,837.53,854.3,915.94,819.01,870.52,1059.04,819.01,926.24,1059.04,791.55,918.2,1059.04,578.98,874.8,39.26196798,0.3980121,-1.314102564,-3.521581197,2.207478632,878.7482233,862.2917767,-7.307438358,96.8613957,0.504220141,77.57894737,3104.347826,0.018904157,110.7
2000-03-17,115.15,115.15,111.5,111.9,1.71,-4.02,-4.67,-9.87,-7.53,42.47,42.47,855.57,837.53,847.14,915.94,819.01,868.42,1059.04,819.01,924.69,1059.04,791.55,917.35,1059.04,578.98,875.82,36.95125392,0.437483479,-0.432051282,-2.968803419,2.536752137,876.5460384,860.2939616,-7.295058289,96.93896915,0.50659066,70.48008172,-1426.923077,0.018714535,111.9
2000-03-20,112.85,114.7,111.5,111.95,-0.59,-0.49,-3.26,-12.05,-8.93,40.76,40.76,855.57,837.53,846.31,915.94,819.01,866.99,1059.04,819.01,923.04,1059.04,791.55,916.59,1059.04,601.07,877.98,42.063075,0.428417943,-0.416346154,-2.456125356,2.039779202,875.1653336,858.8146664,-7.294542453,97.07816002,0.482115622,78.25618945,-749.1071429,0.018859118,111.95
2000-03-21,110.7,114.8,110.5,114.4,1.52,1.97,2.14,-9.95,-9.82,42.9,42.9,863.41,837.53,849.65,915.94,819.01,867.9,1059.04,819.01,921.32,1059.04,791.55,916.26,1059.04,601.07,877.92,37.40107034,0.434577232,-0.385576923,-2.015135328,1.629558405,876.0706455,859.7293545,-7.269266481,97.45504116,0.488183086,84.21633554,-1008.333333,0.018828541,114.4
2000-03-22,114.4,117.75,114.2,116,2.2,5.36,3.81,-8.82,-6.28,45.2,45.2,882.43,841.22,858.63,915.94,819.01,869.52,1059.04,819.01,920.04,1059.04,791.55,916.11,1059.04,601.07,879.01,37.45849533,0.304878049,-0.618589744,-1.668340456,1.049750712,877.6388847,861.4011153,-7.252759724,97.90216089,0.479650727,88.98978434,-1451.724138,0.018674406,116
2000-03-23,116.5,117.5,113.65,113.8,-1.68,3.14,-1.48,-10.94,-7.85,41.23,41.23,882.43,850.51,863.91,915.94,819.01,868.86,1059.04,819.01,918.37,1059.04,791.55,916.1,1059.04,601.07,880.02,39.59837373,0.28830313,-0.865705128,-1.385683761,0.519978632,876.9668051,860.7531949,-7.275456515,98.09291991,0.48167026,88.08172531,-1134.666667,0.018660786,113.8
